Time,Resistance,Temperature
0,431.8,25 
1,427.6,25.5 
2,420.3,26 
3,412.0,28.0 
4,407.4,28 
5,403.8,30 
6,400.1,31 
7,398.2,32 
8,395.6,33 
9,393.2,33.5 
10,391.5,34 
11,389.3,35 
12,387.7,35.5 
13,385.5,36.5 
14,384.0,37 
15,382.6,37.0 
16,381.1,37.5 
17,379.5,38 
18,377.9,38.5 
19,376.5,39 
20,375.1,39 
21,373.5,39.5 
22,372.0,40 
23,370.6,40 
24,369.4,40 
25,368.0,40.5 
26,366.6,41.0 
27,365.4,41 
28,364.5,41.5 
29,363.0,42 
30,362.0,42 
31,360.7,42 
32,359.6,42.5 
33,358.5,42.5 
34,357.4,42.5 
35,355.2,43.0 
36,354.3,43.5 
37,353.2,44 
38,352.2,44.5 
39,351.4,44.5 
40,350.7,44.5 
41,349.6,44.5 
42,348.8,44.5 
43,347.9,44.2 
44,347.1,44.5 
45,346.3,45 
46,345.6,45 
47,344.9,45.5 
48,343.9,46 
49,343.0,45.5 
50,342.3,46 
51,341.7,46 
52,341.1,45.5 
53,340.4,46 
54,339.7,46.5 
55,339.0,47 
56,338.3,47 
57,337.7,47 
58,337.1,46.5 
59,336.6,46.5 
60,336.0,46.5 
61,335.5,46 
62,335.0,47 
63,334.6,46.5 
64,334.0,47 
65,333.6,46.5 
66,332.8,47 
67,332.5,47 
68,332.0,47 
69,331.6,46.5 
